Unnamed: 0.1,Function,cyclomatic_complexity,javadoc_length,tokens,LOC,Unnamed: 0,doc_bin,loc_bin,group,class_name,SPF_Results,SPF_Time
28,"public class GREATESTCOMMONDIVISOR {
/**
     * Gets the greatest common divisor of the absolute value of
     * two numbers, using the ""binary gcd"" method which avoids
     * division and modulo operations.  See Knuth 4.5.2 algorithm B.
     * This algorithm is due to Josef Stein (1961).
     *
     * @param u  a non-zero number
     * @param v  a non-zero number
     * @return the greatest common divisor, never zero
     */
    public static int greatestCommonDivisor(int u, int v) {
        // From Commons Math:
        if (u == 0 || v == 0) {
            if (u == Integer.MIN_VALUE || v == Integer.MIN_VALUE) {
                throw new ArithmeticException(""overflow: gcd is 2^31"");
            }
            return Math.abs(u) + Math.abs(v);
        }
        // if either operand is abs 1, return 1:
        if (Math.abs(u) == 1 || Math.abs(v) == 1) {
            return 1;
        }
        // keep u and v negative, as negative integers range down to
        // -2^31, while positive numbers can only be as large as 2^31-1
        // (i.e. we can't necessarily negate a negative number without
        // overflow)
        if (u > 0) {
            u = -u;
        } // make u negative
        if (v > 0) {
            v = -v;
        } // make v negative
        // B1. [Find power of 2]
        int k = 0;
        while ((u & 1) == 0 && (v & 1) == 0 && k < 31) { // while u and v are both even...
            u /= 2;
            v /= 2;
            k++; // cast out twos.
        }
        if (k == 31) {
            throw new ArithmeticException(""overflow: gcd is 2^31"");
        }
        // B2. Initialize: u and v have been divided by 2^k and at least
        // one is odd.
        int t = (u & 1) == 1 ? v : -(u / 2)/* B3 */;
        // t negative: u was odd, v may be even (t replaces v)
        // t positive: u was even, v is odd (t replaces u)
        do {
            /* assert u<0 && v<0; */
            // B4/B3: cast out twos from t.
            while ((t & 1) == 0) { // while t is even.
                t /= 2; // cast out twos
            }
            // B5 [reset max(u,v)]
            if (t > 0) {
                u = -t;
            } else {
                v = t;
            }
            // B6/B3. at this point both u and v should be odd.
            t = (v - u) / 2;
            // |u| larger: t positive (replace u)
            // |v| larger: t negative (replace v)
        } while (t != 0);
        return -u * (1 << k); // gcd is u*2^k
    }
}",16.0,4,36,31,,Long (21-40),Long (21+),Long (21-40) | Long (21+),GREATESTCOMMONDIVISOR,"Inputs: u_1_SYMINT,v_2_SYMINT

demo.Distance.distance(0,-2147483648)  --> ""java.lang.ArithmeticException: overflow: gcd is 2^31...""
demo.Distance.distance(-2147483648,0)  --> ""java.lang.ArithmeticException: overflow: gcd is 2^31...""
(0,-2147483646)  --> Return Value: 2147483646
(0,0)  --> Return Value: 0
(-2147483646,0)  --> Return Value: 2147483646
(2,0)  --> Return Value: 2
(-1,1)  --> Return Value: 1
(1,1)  --> Return Value: 1
",1.7789974212646484
679,"public class GETHIGHBIT {
/**
     * Returns the index of the high bit in value (assuming le, actually
     * power of 2 >= value). value must be positive.
     */
    public static int getHighBit(int value) {
        if (value <= 0) {
            return -32;
        }

        int bit = 0;

        if (value >= 1 << 16) {
            value >>= 16;
            bit += 16;
        }

        if (value >= 1 << 8) {
            value >>= 8;
            bit += 8;
        }

        if (value >= 1 << 4) {
            value >>= 4;
            bit += 4;
        }

        if (value >= 1 << 2) {
            value >>= 2;
            bit += 2;
        }

        if (value >= 1 << 1) {
            bit += 1;
        }

        return bit;
    }
}",7.0,2,21,18,543.0,Long (21-40),Medium (11-20),Long (21-40) | Medium (11-20),GETHIGHBIT,"Inputs: value_1_SYMINT

(-2147483646)  --> Return Value: -32
",1.6877837181091309
125,"public class GETDEVIANCEPART {
/**
     * A part of the deviance portion of the saddle point approximation.
     * <p>
     * References:
     * <ol>
     * <li>Catherine Loader (2000). ""Fast and Accurate Computation of Binomial
     * Probabilities."". <a target=""_blank""
     * href=""http://www.herine.net/stat/papers/dbinom.pdf"">
     * http://www.herine.net/stat/papers/dbinom.pdf</a></li>
     * </ol>
     *
     * <p>Note: This function has been modified for integer {@code x}.</p>
     *
     * @param x Value at which the function is evaluated.
     * @param mu Average.
     * @return a part of the deviance.
     */
    static double getDeviancePart(int x, double mu) {
        if (Math.abs(x - mu) < 0.1 * (x + mu)) {
            final double d = x - mu;
            double v = d / (x + mu);
            double s1 = v * d;
            double s = Double.NaN;
            double ej = 2.0 * x * v;
            v *= v;
            int j = 1;
            while (s1 != s) {
                s = s1;
                ej *= v;
                s1 = s + ej / ((j * 2) + 1);
                ++j;
            }
            return s1;
        } else if (x == 0) {
            return mu;
        }
        return x * Math.log(x / mu) + mu - x;
    }
}",4.0,10,39,17,,Long (21-40),Medium (11-20),Long (21-40) | Medium (11-20),GETDEVIANCEPART,No path condition,1.5377326011657717
189,"public class LOG2 {
/**
     * Method that calculates the floor of the log, base 2,
     * of 'x'. The calculation is performed in integer arithmetic,
     * therefore, it is exact.
     *
     * @param x The value to calculate log2 on.
     *
     * @return floor(log(x)/log(2)), calculated in an exact way.
     * */
    public static int log2(int x) {
        int y,v;
        // No log of 0 or negative
        if (x <= 0) {
            throw new IllegalArgumentException(""""+x+"" <= 0"");
        }
        // Calculate log2 (it's actually floor log2)
        v = x;
        y = -1;
        while (v>0) {
            v >>=1;
            y++;
        }
        return y;
    }
}",3.0,3,23,9,53.0,Long (21-40),Short (6-10),Long (21-40) | Short (6-10),LOG2,"Inputs: x_1_SYMINT

demo.Distance.distance(-2147483646)  --> ""java.lang.IllegalArgumentException: 0 <= 0...""
(1)  --> Return Value: 0
(2)  --> Return Value: 1
(4)  --> Return Value: 2
",1.5870585441589355
546,"public class GETDATAMASKBIT {
/**
   * Return the mask bit for ""getMaskPattern"" at ""x"" and ""y"". See 8.8 of JISX0510:2004 for mask
   * pattern conditions.
   */
  static boolean getDataMaskBit(int maskPattern, int x, int y) {
    int intermediate;
    int temp;
    switch (maskPattern) {
      case 0:
        intermediate = (y + x) & 0x1;
        break;
      case 1:
        intermediate = y & 0x1;
        break;
      case 2:
        intermediate = x % 3;
        break;
      case 3:
        intermediate = (y + x) % 3;
        break;
      case 4:
        intermediate = ((y >>> 1) + (x / 3)) & 0x1;
        break;
      case 5:
        temp = y * x;
        intermediate = (temp & 0x1) + (temp % 3);
        break;
      case 6:
        temp = y * x;
        intermediate = ((temp & 0x1) + (temp % 3)) & 0x1;
        break;
      case 7:
        temp = y * x;
        intermediate = ((temp % 3) + ((y + x) & 0x1)) & 0x1;
        break;
      default:
        throw new IllegalArgumentException(""Invalid mask pattern: "" + maskPattern);
    }
    return intermediate == 0;
  }
}",2.0,2,18,33,410.0,Medium (11-20),Long (21+),Medium (11-20) | Long (21+),GETDATAMASKBIT,"Inputs: maskPattern_1_SYMINT,x_2_SYMINT,y_3_SYMINT

demo.Distance.distance(8,-9223372036854775808(don't care),-9223372036854775808(don't care))  --> ""java.lang.IllegalArgumentException: Invalid mask pattern: 0...""
(0,0,0)  --> Return Value: 1
(0,0,1)  --> Return Value: 0
(1,-9223372036854775808(don't care),0)  --> Return Value: 1
(1,-9223372036854775808(don't care),1)  --> Return Value: 0
(2,1788567546,-9223372036854775808(don't care))  --> Return Value: 1
(2,1673570278,-9223372036854775808(don't care))  --> Return Value: 0
(3,530979712,98657393)  --> Return Value: 1
(3,1930100610,1179589)  --> Return Value: 0
(4,7,0)  --> Return Value: 1
(4,4,0)  --> Return Value: 0
(5,-1292859294,1146515113)  --> Return Value: 1
(5,1304754209,563693218)  --> Return Value: 0
(6,172673,147005824)  --> Return Value: 1
(6,855816795,681576670)  --> Return Value: 0
(7,1441801742,175498102)  --> Return Value: 1
(7,708555396,557371710)  --> Return Value: 0
",2.6761341094970703
76,"public class GCDLONGADAPTEDFORINT {
/**
     * This is a copy of the GCD method for longs, but adapted for ints.
     *
     * @param p an int.
     * @param q an int.
     * @return the GCD of p and q.
     */
    public static int gcdLongAdaptedForInt(int p, int q) {
        // Perform the gcd algorithm on negative numbers, so that -2^31 does not
        // need to be handled separately
        int a = p > 0 ? -p : p;
        int b = q > 0 ? -q : q;

        int negatedGcd;
        if (a == 0) {
            negatedGcd = b;
        } else if (b == 0) {
            negatedGcd = a;
        } else {
            // Make ""a"" and ""b"" odd, keeping track of common power of 2.
            final int aTwos = Integer.numberOfTrailingZeros(a);
            final int bTwos = Integer.numberOfTrailingZeros(b);
            a >>= aTwos;
            b >>= bTwos;
            final int shift = Math.min(aTwos, bTwos);

            // ""a"" and ""b"" are negative and odd.
            // If a < b then ""gdc(a, b)"" is equal to ""gcd(a - b, b)"".
            // If a > b then ""gcd(a, b)"" is equal to ""gcd(b - a, a)"".
            // Hence, in the successive iterations:
            //  ""a"" becomes the negative absolute difference of the current values,
            //  ""b"" becomes that value of the two that is closer to zero.
            while (true) {
                final int delta = a - b;

                if (delta == 0) {
                    break;
                }

                b = Math.max(a, b);
                a = delta > 0 ? -delta : delta;

                // Remove any power of 2 in ""a"" (""b"" is guaranteed to be odd).
                a >>= Integer.numberOfTrailingZeros(a);
            }

            // Recover the common power of 2.
            negatedGcd = a << shift;
        }
        if (negatedGcd == Integer.MIN_VALUE) {
            throw new ArithmeticException();
        }
        return -negatedGcd;
    }
}",6.0,1,14,24,,Medium (11-20),Long (21+),Medium (11-20) | Long (21+),GCDLONGADAPTEDFORINT,"Inputs: p_1_SYMINT,q_2_SYMINT

(1,0)  --> Return Value: 1
(0,1)  --> Return Value: 1
demo.Distance.distance(0,-2147483648)  --> ""java.lang.ArithmeticException...""
(0,-2147483646)  --> Return Value: 2147483646
",1.990055084228516
571,"public class ISLATINCHAR {
/**
     * Returns true if the specified character is within one of the Latin
     * unicode character blocks.
     *
     * @param c The char to test.
     *
     * @return True if c is latin.
     */
    public boolean isLatinChar(char c) {

        if ( c < 255 && Character.isLetterOrDigit( c )){
            // cheap quick check, should catch most lation-chars
            return true;
        }

        Character.UnicodeBlock block = Character.UnicodeBlock.of(c);

        if (block == Character.UnicodeBlock.BASIC_LATIN ||
            block == Character.UnicodeBlock.LATIN_1_SUPPLEMENT ||
            block == Character.UnicodeBlock.LATIN_EXTENDED_ADDITIONAL ||
            block == Character.UnicodeBlock.LATIN_EXTENDED_A ||
            block == Character.UnicodeBlock.LATIN_EXTENDED_B ||
            block == Character.UnicodeBlock.ARABIC ||
            block == Character.UnicodeBlock.ARABIC_PRESENTATION_FORMS_A ||
            block == Character.UnicodeBlock.ARABIC_PRESENTATION_FORMS_B) {
            return true;
        }
        return false;
    }
}",11.0,2,15,13,435.0,Medium (11-20),Medium (11-20),Medium (11-20) | Medium (11-20),ISLATINCHAR,"Inputs: c_1_SYMINT

(128)  --> Return Value: 1
(0)  --> Return Value: 1
",2.0487987995147705
166,"public class UNSIGNEDLEB128SIZE {
/**
     * Gets the number of bytes in the unsigned LEB128 encoding of the
     * given value.
     *
     * @param value the value in question
     * @return its write size, in bytes
     */
    public static int unsignedLeb128Size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >>> 7;
        int count = 0;

        while (remaining != 0) {
            value = remaining;
            remaining >>>= 7;
            count++;
        }

        return count + 1;
    }
}",2.0,2,14,7,30.0,Medium (11-20),Short (6-10),Medium (11-20) | Short (6-10),UNSIGNEDLEB128SIZE,"Inputs: value_1_SYMINT

(0)  --> Return Value: 1
(128)  --> Return Value: 2
(16384)  --> Return Value: 3
(268435456)  --> Return Value: 5
(2097152)  --> Return Value: 4
",1.391655445098877
723,"public class GETROLLEDVALUE {
/**
     * Returns the new value after 'roll'ing the specified value and amount.
     */
    public static int getRolledValue(int value, int amount, int min, int max) {
        assert value >= min && value <= max;
        int range = max - min + 1;
        amount %= range;
        int n = value + amount;
        if (n > max) {
            n -= range;
        } else if (n < min) {
            n += range;
        }
        assert n >= min && n <= max;
        return n;
    }
}",5.0,1,11,10,587.0,Medium (11-20),Short (6-10),Medium (11-20) | Short (6-10),GETROLLEDVALUE,"Inputs: value_1_SYMINT,amount_2_SYMINT,min_3_SYMINT,max_4_SYMINT

demo.Distance.distance(0,-9223372036854775808(don't care),2,-9223372036854775808(don't care))  --> ""java.lang.AssertionError...""
demo.Distance.distance(0,-9223372036854775808(don't care),-2147483647,-2147483648)  --> ""java.lang.AssertionError...""
demo.Distance.distance(-870492664,-9223372036854775808(don't care),-2147483648,2147483647)  --> ""java.lang.ArithmeticException: rem by 0...""
",223.00609374046329
550,"public class GETCOMPONENTINDEX {
/** Given one of the constants for a component, determine the corresponding array index. */

  public int getComponentIndex(int component)
  {
    int index = 0;
    while (((component>>index)&1) == 0)
      index++;
    return index;
  }
}",2.0,1,15,3,414.0,Medium (11-20),Very Short (2-5),Medium (11-20) | Very Short (2-5),GETCOMPONENTINDEX,"Inputs: component_1_SYMINT

(1)  --> Return Value: 0
(2)  --> Return Value: 1
(4)  --> Return Value: 2
(8)  --> Return Value: 3
",1.3647921085357666
